Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
34.132.17.254-51.210.97.41-10928-80-6,34.132.17.254,10928,51.210.97.41,80,6,18/03/2024 10:56:05 AM,130417,2,5,82.0,295.0,82.0,0.0,41.0,57.982756057296896,295.0,0.0,59.0,131.9280106724876,2890.7274358404193,53.673984219848634,21736.166666666668,42077.51532311131,105156.0,22.0,25091.0,25091.0,0.0,25091.0,25091.0,130417.0,32604.25,65114.505226690206,130276.0,22.0,0,0,0,0,64,176,15.335424062813896,38.33856015703474,0.0,295.0,47.125,104.18587441957487,10854.696428571426,0,1,0,0,0,0,0,0,2.0,53.857142857142854,41.0,59.0,0,0,0,0,0,0,2,82,5,295,-1,509,1,0,0,0,0,0,0,0,0,0,No Label
34.132.17.254-51.210.97.41-10928-80-6,34.132.17.254,10928,51.210.97.41,80,6,18/03/2024 10:56:06 AM,16098,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.23903590508137,16098.0,0.0,16098.0,16098.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,62.11951795254068,62.11951795254068,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,509,0,0,0,0,0,0,0,0,0,0,No Label
34.132.17.254-51.210.97.41-1228-80-6,34.132.17.254,1228,51.210.97.41,80,6,18/03/2024 10:56:07 AM,146900,2,5,42.0,289.0,42.0,0.0,21.0,29.698484809834994,289.0,0.0,57.8,129.24472909948784,2253.233492171545,47.65146358066712,24483.333333333332,43393.01064303636,106948.0,36.0,39667.0,39667.0,0.0,39667.0,39667.0,146900.0,36725.0,73300.00559799888,146675.0,36.0,0,0,0,0,64,176,13.614703880190605,34.036759700476516,0.0,289.0,41.375,101.12924898366447,10227.125,0,1,0,0,0,0,0,0,2.0,47.285714285714285,21.0,57.8,0,0,0,0,0,0,2,42,5,289,-1,509,1,0,0,0,0,0,0,0,0,0,No Label
34.132.17.254-51.210.97.41-1228-80-6,34.132.17.254,1228,51.210.97.41,80,6,18/03/2024 10:56:08 AM,56293,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.292594105839086,28146.5,21291.69228830813,43202.0,13091.0,13091.0,13091.0,0.0,13091.0,13091.0,0,0,0,0,0,0,0,0,0,64,32,35.528396070559396,17.764198035279698,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,509,0,0,0,0,0,0,0,0,0,0,No Label
37.65.64.144-51.210.97.41-55260-443-6,37.65.64.144,55260,51.210.97.41,443,6,18/03/2024 10:54:56 AM,75485164,17,22,1728.0,8198.0,383.0,0.0,101.64705882352942,155.85126771078515,2896.0,0.0,372.6363636363635,696.4372973146319,131.49603808239723,0.5166578163624311,1986451.6842105263,5130695.485072492,1.510407E7,0.0,6.0751605E7,3796975.3125,6716199.219618625,1.5104088E7,0.0,7.5485164E7,3594531.6190476194,6535454.653389353,1.51041E7,18.0,0,0,0,0,544,720,0.22520981738875206,0.2914479989736791,0.0,2896.0,248.14999999999992,539.2668123218735,290808.6948717948,0,1,0,0,0,0,0,0,1.0,254.51282051282053,101.6470588235294,372.6363636363636,0,0,0,0,0,0,17,1728,22,8198,-1,501,6,0,105086.6,234934.3828195439,525350.0,11.0,1.49919328E7,162958.9039702956,1.510407E7,1.4720094E7,No Label
37.65.64.144-51.210.97.41-55260-443-6,37.65.64.144,55260,51.210.97.41,443,6,18/03/2024 10:56:12 AM,4,3,1,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0.0,0.0,0.0,0.0,6000000.0,1000000.0,1.3333333333333333,1.5275252316519468,3.0,0.0,1.0,0.5,0.7071067811865476,1.0,0.0,0,0,0,0,0,0,0,0,0,96,32,750000.0,250000.0,0.0,24.0,4.8,10.73312629199899,115.2,0,0,0,0,1,0,0,0,0.0,6.0,8.0,0.0,0,0,0,0,0,0,3,24,1,0,-1,249,1,0,0,0,0,0,0,0,0,0,No Label
37.65.64.144-51.210.97.41-55268-443-6,37.65.64.144,55268,51.210.97.41,443,6,18/03/2024 10:54:56 AM,76195139,14,16,786.0,5749.0,451.0,0.0,56.14285714285714,134.9671510706656,2896.0,0.0,359.31250000000006,777.0765486745819,85.76662613608461,0.3937259042207404,2627418.586206897,5746509.108325919,1.5104341E7,0.0,6.1519547E7,4732272.846153846,7181260.678187788,1.5104362E7,0.0,7.6195139E7,5079675.933333334,7267710.665170572,1.5104354E7,7.0,0,0,0,0,448,528,0.18373875530301217,0.2099871489177282,0.0,2896.0,210.80645161290317,578.1212340766618,334224.1612903225,0,1,0,0,0,0,0,0,1.0,217.83333333333334,56.142857142857146,359.3125,0,0,0,0,0,0,14,786,16,5749,-1,503,3,0,249900.2,558731.2250784808,1249389.0,13.0,1.49891072E7,191625.46202083895,1.5104341E7,1.4662144E7,No Label
37.65.64.144-51.210.97.41-55268-443-6,37.65.64.144,55268,51.210.97.41,443,6,18/03/2024 10:56:13 AM,3,3,1,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0.0,0.0,0.0,0.0,8000000.0,1333333.3333333333,1.0,1.0,2.0,0.0,1.0,0.5,0.7071067811865476,1.0,0.0,0,0,0,0,0,0,0,0,0,96,32,1000000.0,333333.3333333333,0.0,24.0,4.8,10.73312629199899,115.2,0,0,0,0,1,0,0,0,0.0,6.0,8.0,0.0,0,0,0,0,0,0,3,24,1,0,-1,249,1,0,0,0,0,0,0,0,0,0,No Label
37.65.64.144-51.210.97.41-53497-51821-17,37.65.64.144,53497,51.210.97.41,51821,17,18/03/2024 10:54:24 AM,114479189,18,1,2664.0,148.0,148.0,148.0,148.0,0.0,148.0,148.0,148.0,0.0,24.563416500094178,0.16596903040604175,6359954.944444444,3537756.957280442,2.0480066E7,5039877.0,1.08719845E8,6395285.000000001,3643361.7699243785,2.0480066E7,5039877.0,0,0,0,0,0,0,0,0,0,144,8,0.15723381827940797,0.008735212126633776,148.0,148.0,148.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,155.78947368421052,148.0,148.0,0,0,0,0,0,0,18,2664,1,148,-1,-1,18,0,0,0,0,0,6359954.944444444,3537756.957280442,2.0480066E7,5039877.0,No Label
37.65.64.144-51.210.97.41-54130-443-6,37.65.64.144,54130,51.210.97.41,443,6,18/03/2024 10:54:26 AM,110022880,23,13,1881.0,819.0,171.0,0.0,81.78260869565217,87.33892005584761,171.0,54.0,63.0,32.449961479175904,24.5403501526228,0.32720466870163734,3143510.8571428577,4697355.906189354,9988806.0,2748.0,1.1000403E8,5000183.181818182,5099178.283853526,9988806.0,15146.0,1.10008028E8,9167335.666666666,2885622.1772001814,1.0007844E7,4262.0,0,1,0,0,736,416,0.20904742722604608,0.11815724147559126,0.0,171.0,77.59459459459461,73.09638213400908,5343.081081081081,0,0,0,1,1,0,0,0,0.0,79.75,81.78260869565217,63.0,0,0,0,0,0,0,23,1881,13,819,-1,501,11,0,18228.727272727272,1613.6979947257228,19939.0,15146.0,9982122.727272728,3167.8406869949645,9988806.0,9978247.0,No Label
