#open,2024-03-12-17-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#fields,uid,flow_duration,fwd_pkts_tot,bwd_pkts_tot,fwd_data_pkts_tot,bwd_data_pkts_tot,fwd_pkts_per_sec,bwd_pkts_per_sec,flow_pkts_per_sec,down_up_ratio,fwd_header_size_tot,fwd_header_size_min,fwd_header_size_max,bwd_header_size_tot,bwd_header_size_min,bwd_header_size_max,flow_FIN_flag_count,flow_SYN_flag_count,flow_RST_flag_count,fwd_PSH_flag_count,bwd_PSH_flag_count,flow_ACK_flag_count,fwd_URG_flag_count,bwd_URG_flag_count,flow_CWR_flag_count,flow_ECE_flag_count,fwd_pkts_payload.min,fwd_pkts_payload.max,fwd_pkts_payload.tot,fwd_pkts_payload.avg,fwd_pkts_payload.std,bwd_pkts_payload.min,bwd_pkts_payload.max,bwd_pkts_payload.tot,bwd_pkts_payload.avg,bwd_pkts_payload.std,flow_pkts_payload.min,flow_pkts_payload.max,flow_pkts_payload.tot,flow_pkts_payload.avg,flow_pkts_payload.std,fwd_iat.min,fwd_iat.max,fwd_iat.tot,fwd_iat.avg,fwd_iat.std,bwd_iat.min,bwd_iat.max,bwd_iat.tot,bwd_iat.avg,bwd_iat.std,flow_iat.min,flow_iat.max,flow_iat.tot,flow_iat.avg,flow_iat.std,payload_bytes_per_second,fwd_subflow_pkts,bwd_subflow_pkts,fwd_subflow_bytes,bwd_subflow_bytes,fwd_bulk_bytes,bwd_bulk_bytes,fwd_bulk_packets,bwd_bulk_packets,fwd_bulk_rate,bwd_bulk_rate,active.min,active.max,active.tot,active.avg,active.std,idle.min,idle.max,idle.tot,idle.avg,idle.std,fwd_init_window_size,bwd_init_window_size,fwd_last_window_size,bwd_last_window_size,,,,,,,,,,,,,,,,,,
CbNpBhQ10WuGtTxdb,0.001427,1,1,1,1,700.802673,700.802673,1401.605347,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1426.935196,1426.935196,1426.935196,1426.935196,0.0,163287.022891,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,1426.935196,1426.935196,1426.935196,1426.935196,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CYEERd16aOADJtazcc,0.001481,1,1,1,1,675.302528,675.302528,1350.605056,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1480.817795,1480.817795,1480.817795,1480.817795,0.0,157345.488971,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,1480.817795,1480.817795,1480.817795,1480.817795,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Cm2U052tIL25yJ0Tj,0.002844,1,1,1,1,351.605667,351.605667,703.211334,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2844.09523,2844.09523,2844.09523,2844.09523,0.0,81924.120379,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,2844.09523,2844.09523,2844.09523,2844.09523,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Ckscid2D2a8Gt0Abnb,0.001321,1,1,1,1,756.95795,756.95795,1513.9159,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1321.077347,1321.077347,1321.077347,1321.077347,0.0,176371.20231,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,1321.077347,1321.077347,1321.077347,1321.077347,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CNoZUx2Ir1mLkL65l,0.002054,1,1,1,1,486.860592,486.860592,973.721184,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2053.976059,2053.976059,2053.976059,2053.976059,0.0,113438.517934,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,2053.976059,2053.976059,2053.976059,2053.976059,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CBO2kX2esOVe6hFvGk,0.001489,1,1,1,1,671.518412,671.518412,1343.036824,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1489.162445,1489.162445,1489.162445,1489.162445,0.0,156463.789946,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,1489.162445,1489.162445,1489.162445,1489.162445,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CqUvLN3wO5vIJCo0H3,0.020266,1,1,1,1,49.343592,49.343592,98.687184,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20266.056061,20266.056061,20266.056061,20266.056061,0.0,11497.056916,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,20266.056061,20266.056061,20266.056061,20266.056061,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CkiN8t3vSOtMoD8K13,0.029500,1,1,1,1,33.898296,33.898296,67.796593,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29500.007629,29500.007629,29500.007629,29500.007629,0.0,7898.303042,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,29500.007629,29500.007629,29500.007629,29500.007629,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CKgQEw336TPqqdAbMh,0.001692,1,1,1,1,591.080045,591.080045,1182.16009,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1691.818237,1691.818237,1691.818237,1691.818237,0.0,137721.650507,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,1691.818237,1691.818237,1691.818237,1691.818237,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CGcMlb3mbyV2ao6b59,0.003244,1,1,1,1,308.24605,308.24605,616.4921,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3244.161606,3244.161606,3244.161606,3244.161606,0.0,71821.32961,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,3244.161606,3244.161606,3244.161606,3244.161606,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
